,Unnamed: 0,geo_value,date,direction,issue,lag,full_time_work_prop,stderr,sample_size,fips,aggregate_level,state
72,16,il,2019-01-02,,2020-06-23,538,0.058978291023515,0.00037254278668989,9678,17,state,IL
73,17,in,2019-01-02,,2020-06-23,538,0.05225820473765099,0.00047050925231565,4808,18,state,IN
74,18,ks,2019-01-02,,2020-06-23,538,0.060823667462591,0.00074813738634319,2346,20,state,KS
75,19,ky,2019-01-02,,2020-06-23,538,0.058480316002046,0.0006471301411713299,3278,21,state,KY
76,20,la,2019-01-02,,2020-06-23,538,0.05402531807469,0.00054025717386757,3450,22,state,LA
77,21,ma,2019-01-02,,2020-06-23,538,0.076714936716044,0.00074073433761599,4962,25,state,MA
78,22,md,2019-01-02,,2020-06-23,538,0.073450849897395,0.00068752013025575,3902,24,state,MD
79,23,me,2019-01-02,,2020-06-23,538,0.070335434140178,0.0013681925316954,1071,23,state,ME
80,24,mi,2019-01-02,,2020-06-23,538,0.046072975084044995,0.00034699816992665,8130,26,state,MI
81,25,mn,2019-01-02,,2020-06-23,538,0.078764498190595,0.0007635253139966701,4104,27,state,MN
82,26,mo,2019-01-02,,2020-06-23,538,0.055494943950419005,0.00049992140609913,4503,29,state,MO
83,27,mp,2019-01-02,,2020-06-23,538,0.08231142947608701,0.0072512462164912,44,69,state,MP
84,28,ms,2019-01-02,,2020-06-23,538,0.046435583719392,0.0006007181834739201,2157,28,state,MS
85,29,mt,2019-01-02,,2020-06-23,538,0.052194312735634,0.0012802343263224,837,30,state,MT
86,30,nc,2019-01-02,,2020-06-23,538,0.052291042087693,0.00040957686688596,6114,37,state,NC
87,31,nd,2019-01-02,,2020-06-23,538,0.067663645967899,0.0019289444922744,571,38,state,ND
88,32,ne,2019-01-02,,2020-06-23,538,0.053549540942489995,0.00081414433156337,1631,31,state,NE
89,33,nh,2019-01-02,,2020-06-23,538,0.079248678933967,0.0015196588187035,921,33,state,NH
