,Unnamed: 0,geo_value,date,direction,issue,lag,median_home_dwell_time,stderr,sample_size,fips,aggregate_level,state
100,44,sc,2019-01-02,,2020-06-20,535,586.12717712783,3.5333731947903995,3043,45,state,SC
101,45,sd,2019-01-02,,2020-06-20,535,552.19571865443,8.103557427695,654,46,state,SD
102,46,tn,2019-01-02,,2020-06-20,535,611.256260637,3.0282495250754,4113,47,state,TN
103,47,tx,2019-01-02,,2020-06-20,535,637.2848988393499,1.522505866549,15767,48,state,TX
104,48,ut,2019-01-02,,2020-06-20,535,667.36929460581,5.1179938994029,1687,49,state,UT
105,49,va,2019-01-02,,2020-06-20,535,594.1136277840701,2.7911761580417003,5298,51,state,VA
106,50,vi,2019-01-02,,2020-06-20,535,345.10465116279,22.755351614626,86,78,state,VI
107,51,vt,2019-01-02,,2020-06-20,535,476.77927063339996,8.606068563711,521,50,state,VT
108,52,wa,2019-01-02,,2020-06-20,535,647.97921914358,3.0331655683739,4764,53,state,WA
109,53,wi,2019-01-02,,2020-06-20,535,609.5751341681599,2.7805883235566,4472,55,state,WI
110,54,wv,2019-01-02,,2020-06-20,535,576.69201759899,5.422540509555299,1591,54,state,WV
111,55,wy,2019-01-02,,2020-06-20,535,555.9902200489,9.4094355618648,409,56,state,WY
112,0,ak,2019-01-03,-1.0,2020-06-20,534,501.93333333333,10.244700142656999,525,02,state,AK
113,1,al,2019-01-03,-1.0,2020-06-20,534,619.01747742499,3.0675153601435,3433,01,state,AL
114,2,ar,2019-01-03,-1.0,2020-06-20,534,626.33442164179,3.8537684634465,2144,05,state,AR
115,3,as,2019-01-03,-1.0,2020-06-20,534,392.3125,52.233008456138,32,60,state,AS
116,4,az,2019-01-03,-1.0,2020-06-20,534,647.86386554622,3.2395907055534,4165,04,state,AZ
117,5,ca,2019-01-03,-1.0,2020-06-20,534,667.96543968165,1.2673961301617,23119,06,state,CA
118,6,co,2019-01-03,-1.0,2020-06-20,534,617.69497301903,3.4891459715054,3521,08,state,CO
119,7,ct,2019-01-03,-1.0,2020-06-20,534,624.87781225756,3.4663466836573,2578,09,state,CT
120,8,dc,2019-01-03,0.0,2020-06-20,534,479.96436525612,8.8138881157304,449,11,state,DC
121,9,de,2019-01-03,-1.0,2020-06-20,534,598.52220248668,7.850273717856799,563,10,state,DE
122,10,fl,2019-01-03,-1.0,2020-06-20,534,604.00809075719,1.7196274400373,11371,12,state,FL
123,11,ga,2019-01-03,-1.0,2020-06-20,534,613.1526620789599,2.5634893818654,5522,13,state,GA
124,12,gu,2019-01-03,-1.0,2020-06-20,534,560.4397590361401,20.135003367956,166,66,state,GU
125,13,hi,2019-01-03,-1.0,2020-06-20,534,616.0083932853701,6.651796472812201,834,15,state,HI
126,14,ia,2019-01-03,-1.0,2020-06-20,534,618.62785388128,3.4140261348996,2628,19,state,IA
127,15,id,2019-01-03,0.0,2020-06-20,534,630.25547445255,6.428095929965299,959,16,state,ID
128,16,il,2019-01-03,-1.0,2020-06-20,534,641.64879107254,1.9803092706413001,9678,17,state,IL
129,17,in,2019-01-03,-1.0,2020-06-20,534,612.0320366132701,2.7286761512066002,4807,18,state,IN
130,18,ks,2019-01-03,-1.0,2020-06-20,534,632.64620630861,3.6532342374767,2346,20,state,KS
131,19,ky,2019-01-03,-1.0,2020-06-20,534,601.52548062252,3.1907081777585,3277,21,state,KY
132,20,la,2019-01-03,-1.0,2020-06-20,534,595.8751086641599,3.2351924036662,3451,22,state,LA
133,21,ma,2019-01-03,-1.0,2020-06-20,534,582.4318548387099,2.8245517189288996,4960,25,state,MA
134,22,md,2019-01-03,-1.0,2020-06-20,534,609.86955407483,2.9188718263426,3902,24,state,MD
135,23,me,2019-01-03,-1.0,2020-06-20,534,539.93190298507,5.890336832866,1072,23,state,ME
136,24,mi,2019-01-03,-1.0,2020-06-20,534,614.53419434194,2.1819360002596997,8130,26,state,MI
137,25,mn,2019-01-03,-1.0,2020-06-20,534,589.09088693957,2.9395179772507993,4104,27,state,MN
138,26,mo,2019-01-03,-1.0,2020-06-20,534,632.3009773434,2.6725677258194,4502,29,state,MO
139,27,mp,2019-01-03,-1.0,2020-06-20,534,474.97777777778,37.140512456673996,45,69,state,MP
140,28,ms,2019-01-03,-1.0,2020-06-20,534,595.89100185529,4.0641565071155,2156,28,state,MS
141,29,mt,2019-01-03,-1.0,2020-06-20,534,558.33333333333,7.3606022491123,837,30,state,MT
142,30,nc,2019-01-03,-1.0,2020-06-20,534,570.80893178472,2.3983540218595003,6113,37,state,NC
143,31,nd,2019-01-03,-1.0,2020-06-20,534,539.3251748251699,7.2945971885784004,572,38,state,ND
144,32,ne,2019-01-03,-1.0,2020-06-20,534,616.33149171271,4.5446467584001,1629,31,state,NE
145,33,nh,2019-01-03,-1.0,2020-06-20,534,603.92290988056,6.1541228435588,921,33,state,NH
146,34,nj,2019-01-03,-1.0,2020-06-20,534,654.2030230708,2.177531290907,6285,34,state,NJ
147,35,nm,2019-01-03,-1.0,2020-06-20,534,583.99100968188,5.5437148882819995,1446,35,state,NM
148,36,nv,2019-01-03,-1.0,2020-06-20,534,659.85455543359,4.502925664442599,1822,32,state,NV
149,37,ny,2019-01-03,-1.0,2020-06-20,534,609.47827804107,1.5185947302882998,15192,36,state,NY
150,38,oh,2019-01-03,-1.0,2020-06-20,534,631.3111785753,1.9746661350745,9223,39,state,OH
151,39,ok,2019-01-03,0.0,2020-06-20,534,708.3807432432401,3.6649724103525,2960,40,state,OK
152,40,or,2019-01-03,-1.0,2020-06-20,534,647.75675675676,3.9211672719647996,2627,41,state,OR
153,41,pa,2019-01-03,-1.0,2020-06-20,534,616.68596996503,1.919880224404,9722,42,state,PA
154,42,pr,2019-01-03,-1.0,2020-06-20,534,403.9996039604,3.7333092807942,2525,72,state,PR
155,43,ri,2019-01-03,-1.0,2020-06-20,534,593.68362282878,6.863891982879,806,44,state,RI
156,44,sc,2019-01-03,-1.0,2020-06-20,534,589.89089714098,3.4177572613428,3043,45,state,SC
157,45,sd,2019-01-03,-1.0,2020-06-20,534,540.12844036697,7.7839537455787005,654,46,state,SD
158,46,tn,2019-01-03,-1.0,2020-06-20,534,612.7568684658401,2.9212177561821,4113,47,state,TN
159,47,tx,2019-01-03,-1.0,2020-06-20,534,637.95768840396,1.4522970942319,15764,48,state,TX
160,48,ut,2019-01-03,-1.0,2020-06-20,534,660.5850622406599,4.8791067069491,1687,49,state,UT
161,49,va,2019-01-03,-1.0,2020-06-20,534,602.8648801660701,2.6740044591725,5299,51,state,VA
162,50,vi,2019-01-03,-1.0,2020-06-20,534,326.93023255814,17.709456234909002,86,78,state,VI
163,51,vt,2019-01-03,0.0,2020-06-20,534,504.20729366602995,8.5524678013685,521,50,state,VT
164,52,wa,2019-01-03,-1.0,2020-06-20,534,652.6114609571799,2.9510766772468,4764,53,state,WA
165,53,wi,2019-01-03,-1.0,2020-06-20,534,611.49575324095,2.6266012868585,4474,55,state,WI
166,54,wv,2019-01-03,-1.0,2020-06-20,534,572.9164047768701,5.0339861383872995,1591,54,state,WV
167,55,wy,2019-01-03,-1.0,2020-06-20,534,569.40831295844,9.134069935720401,409,56,state,WY
168,0,ak,2019-01-04,-1.0,2020-06-20,533,512.38022813688,10.272474017941999,526,02,state,AK
169,1,al,2019-01-04,-1.0,2020-06-20,533,593.6616191030901,2.9340472313666,3434,01,state,AL
170,2,ar,2019-01-04,-1.0,2020-06-20,533,603.9953358209,3.6613864163137,2144,05,state,AR
171,3,as,2019-01-04,-1.0,2020-06-20,533,303.2,54.031546963111,35,60,state,AS
172,4,az,2019-01-04,-1.0,2020-06-20,533,638.4891930835701,3.1699208024064,4164,04,state,AZ
173,5,ca,2019-01-04,-1.0,2020-06-20,533,660.16225337487,1.2317191865529,23112,06,state,CA
174,6,co,2019-01-04,-1.0,2020-06-20,533,610.21016756603,3.377297829615,3521,08,state,CO
175,7,ct,2019-01-04,-1.0,2020-06-20,533,607.8948797517501,3.2682824184107,2578,09,state,CT
176,8,dc,2019-01-04,0.0,2020-06-20,533,478.49220489977995,8.2871408400342,449,11,state,DC
177,9,de,2019-01-04,-1.0,2020-06-20,533,574.39786856128,7.631452202243401,563,10,state,DE
178,10,fl,2019-01-04,-1.0,2020-06-20,533,593.21735689792,1.6420219378768999,11373,12,state,FL
179,11,ga,2019-01-04,-1.0,2020-06-20,533,599.34136182543,2.4338950273316002,5522,13,state,GA
180,12,gu,2019-01-04,-1.0,2020-06-20,533,530.8058823529401,16.549818886934,170,66,state,GU
181,13,hi,2019-01-04,-1.0,2020-06-20,533,611.9868421052599,6.189525332541,836,15,state,HI
182,14,ia,2019-01-04,-1.0,2020-06-20,533,583.51541682528,3.1438904272507,2627,19,state,IA
183,15,id,2019-01-04,-1.0,2020-06-20,533,624.19186652763,6.2480441576149,959,16,state,ID
184,16,il,2019-01-04,-1.0,2020-06-20,533,629.9746874677099,1.8752792119691002,9679,17,state,IL
185,17,in,2019-01-04,-1.0,2020-06-20,533,594.63365924693,2.5955817605681,4807,18,state,IN
186,18,ks,2019-01-04,-1.0,2020-06-20,533,598.05074626866,3.5005528864942996,2345,20,state,KS
187,19,ky,2019-01-04,-1.0,2020-06-20,533,582.7274946597499,3.092794608614,3277,21,state,KY
188,20,la,2019-01-04,-1.0,2020-06-20,533,570.89220515793,3.0904681254628996,3451,22,state,LA
189,21,ma,2019-01-04,-1.0,2020-06-20,533,560.87661290323,2.6792111685412,4960,25,state,MA
190,22,md,2019-01-04,-1.0,2020-06-20,533,585.8345286885201,2.7554797015592998,3904,24,state,MD
191,23,me,2019-01-04,-1.0,2020-06-20,533,537.75865294668,5.5366144095427,1069,23,state,ME
192,24,mi,2019-01-04,-1.0,2020-06-20,533,598.19938499385,2.0911523496113,8130,26,state,MI
193,25,mn,2019-01-04,-1.0,2020-06-20,533,564.3382066276799,2.742707557023,4104,27,state,MN
194,26,mo,2019-01-04,-1.0,2020-06-20,533,606.7161261661499,2.5784076376336,4502,29,state,MO
195,27,mp,2019-01-04,-1.0,2020-06-20,533,383.21739130435,33.585868218692,46,69,state,MP
196,28,ms,2019-01-04,-1.0,2020-06-20,533,573.9128419100599,3.7981755086588995,2157,28,state,MS
197,29,mt,2019-01-04,-1.0,2020-06-20,533,546.17921146953,6.8927877356783,837,30,state,MT
198,30,nc,2019-01-04,-1.0,2020-06-20,533,560.81112019624,2.2787264091205,6115,37,state,NC
199,31,nd,2019-01-04,-1.0,2020-06-20,533,507.1260945709299,7.1761796287399005,571,38,state,ND
200,32,ne,2019-01-04,-1.0,2020-06-20,533,597.2453987730099,4.2907841028509,1630,31,state,NE
201,33,nh,2019-01-04,-1.0,2020-06-20,533,580.7437567861,5.5799724069874,921,33,state,NH
202,34,nj,2019-01-04,-1.0,2020-06-20,533,634.45140766661,2.0440083040813,6287,34,state,NJ
203,35,nm,2019-01-04,-1.0,2020-06-20,533,568.0740484429099,5.2585252365523,1445,35,state,NM
204,36,nv,2019-01-04,-1.0,2020-06-20,533,645.19758507135,4.4703640249515,1822,32,state,NV
205,37,ny,2019-01-04,-1.0,2020-06-20,533,589.2244172263901,1.4498321094503999,15186,36,state,NY
206,38,oh,2019-01-04,-1.0,2020-06-20,533,607.96379011275,1.8870460887681002,9224,39,state,OH
207,39,ok,2019-01-04,0.0,2020-06-20,533,632.4341216216201,3.1814998005637998,2960,40,state,OK
208,40,or,2019-01-04,-1.0,2020-06-20,533,646.95277989337,3.7997545984072993,2626,41,state,OR
209,41,pa,2019-01-04,-1.0,2020-06-20,533,592.418090142,1.8125172444222,9718,42,state,PA
210,42,pr,2019-01-04,-1.0,2020-06-20,533,421.53560126582,3.6417003133574997,2528,72,state,PR
211,43,ri,2019-01-04,-1.0,2020-06-20,533,571.8372670807499,6.714272988387999,805,44,state,RI
212,44,sc,2019-01-04,-1.0,2020-06-20,533,582.3134034165599,3.2932919097419,3044,45,state,SC
213,45,sd,2019-01-04,-1.0,2020-06-20,533,525.30886850153,7.174682930742099,654,46,state,SD
214,46,tn,2019-01-04,-1.0,2020-06-20,533,596.0780831914401,2.8118512253482004,4111,47,state,TN
215,47,tx,2019-01-04,-1.0,2020-06-20,533,614.96611890108,1.3841808501216,15761,48,state,TX
216,48,ut,2019-01-04,-1.0,2020-06-20,533,645.22999407232,4.7052013438308,1687,49,state,UT
217,49,va,2019-01-04,-1.0,2020-06-20,533,586.2840158520501,2.5621344932345,5299,51,state,VA
218,50,vi,2019-01-04,0.0,2020-06-20,533,391.55813953488,23.994827330461,86,78,state,VI
219,51,vt,2019-01-04,0.0,2020-06-20,533,497.15930902110995,8.1837909574852,521,50,state,VT
220,52,wa,2019-01-04,-1.0,2020-06-20,533,644.62497376705,2.8771779100183,4765,53,state,WA
221,53,wi,2019-01-04,-1.0,2020-06-20,533,582.35837245696,2.4691416909702,4473,55,state,WI
222,54,wv,2019-01-04,-1.0,2020-06-20,533,555.75989943432,4.7145902861933,1591,54,state,WV
223,55,wy,2019-01-04,-1.0,2020-06-20,533,553.30975609756,8.8099796432333,410,56,state,WY
224,0,ak,2019-01-05,0.0,2020-06-20,532,586.0684410646401,11.527986011194,526,02,state,AK
225,1,al,2019-01-05,0.0,2020-06-20,532,686.9702970297,3.5405838816814,3434,01,state,AL
226,2,ar,2019-01-05,0.0,2020-06-20,532,686.1403263403299,4.5206018958679,2145,05,state,AR
227,3,as,2019-01-05,-1.0,2020-06-20,532,377.7272727272701,56.037329832093,33,60,state,AS
228,4,az,2019-01-05,0.0,2020-06-20,532,695.7753483902001,3.5454941578877004,4162,04,state,AZ
229,5,ca,2019-01-05,0.0,2020-06-20,532,738.77144711226,1.4047958360599,23115,06,state,CA
230,6,co,2019-01-05,0.0,2020-06-20,532,672.25106503834,3.8801654501716,3521,08,state,CO
231,7,ct,2019-01-05,0.0,2020-06-20,532,738.8449011244701,4.1441558235797995,2579,09,state,CT
232,8,dc,2019-01-05,1.0,2020-06-20,532,605.00668151448,10.144268102228,449,11,state,DC
233,9,de,2019-01-05,0.0,2020-06-20,532,706.09608540925,9.001228588919599,562,10,state,DE
234,10,fl,2019-01-05,0.0,2020-06-20,532,676.39372086888,1.8465063492997,11371,12,state,FL
235,11,ga,2019-01-05,0.0,2020-06-20,532,694.23963050172,2.8107044178468996,5521,13,state,GA
236,12,gu,2019-01-05,0.0,2020-06-20,532,645.07602339181,19.331792411899,171,66,state,GU
237,13,hi,2019-01-05,0.0,2020-06-20,532,658.7829736211,7.0794655687541,834,15,state,HI
238,14,ia,2019-01-05,0.0,2020-06-20,532,681.08035034273,3.948927606095,2626,19,state,IA
239,15,id,2019-01-05,0.0,2020-06-20,532,698.6116910229599,6.9801270834591,958,16,state,ID
240,16,il,2019-01-05,0.0,2020-06-20,532,702.11025005166,2.0948561957731,9678,17,state,IL
241,17,in,2019-01-05,0.0,2020-06-20,532,686.89538269551,3.0201874113154,4808,18,state,IN
242,18,ks,2019-01-05,0.0,2020-06-20,532,688.4068230277201,4.272767202181,2345,20,state,KS
243,19,ky,2019-01-05,0.0,2020-06-20,532,702.61446886447,3.6716905395402004,3276,21,state,KY
244,20,la,2019-01-05,0.0,2020-06-20,532,634.75282526804,3.4834577385911,3451,22,state,LA
245,21,ma,2019-01-05,0.0,2020-06-20,532,676.64475806452,3.2930836566074,4960,25,state,MA
246,22,md,2019-01-05,0.0,2020-06-20,532,725.8165043567401,3.3554432389546003,3902,24,state,MD
247,23,me,2019-01-05,0.0,2020-06-20,532,620.95790458372,6.9726740534408,1069,23,state,ME
248,24,mi,2019-01-05,0.0,2020-06-20,532,687.5607775590599,2.4219677835277005,8128,26,state,MI
249,25,mn,2019-01-05,0.0,2020-06-20,532,643.7490253411299,3.3734920755057,4104,27,state,MN
250,26,mo,2019-01-05,0.0,2020-06-20,532,695.8251499666701,3.0561071690648998,4501,29,state,MO
251,27,mp,2019-01-05,0.0,2020-06-20,532,522.0851063829799,48.65054864279,47,69,state,MP
252,28,ms,2019-01-05,0.0,2020-06-20,532,644.45062586926,4.4841548281364005,2157,28,state,MS
253,29,mt,2019-01-05,0.0,2020-06-20,532,619.43608124253,8.5301599786529,837,30,state,MT
254,30,nc,2019-01-05,0.0,2020-06-20,532,663.94995911693,2.7813161588012005,6115,37,state,NC
255,31,nd,2019-01-05,0.0,2020-06-20,532,571.55866900175,8.9361745099685,571,38,state,ND
256,32,ne,2019-01-05,0.0,2020-06-20,532,673.9361571516299,5.172160231234,1629,31,state,NE
257,33,nh,2019-01-05,0.0,2020-06-20,532,698.8577633007599,7.157782361180001,921,33,state,NH
258,34,nj,2019-01-05,0.0,2020-06-20,532,772.6099968163,2.5704426654284,6282,34,state,NJ
259,35,nm,2019-01-05,0.0,2020-06-20,532,623.0062240663901,6.1617074647879,1446,35,state,NM
260,36,nv,2019-01-05,0.0,2020-06-20,532,696.0043931905499,4.857510376057,1821,32,state,NV
261,37,ny,2019-01-05,0.0,2020-06-20,532,713.07883817427,1.8190864092207,15183,36,state,NY
262,38,oh,2019-01-05,0.0,2020-06-20,532,708.74278898287,2.2221418571363,9222,39,state,OH
263,39,ok,2019-01-05,0.0,2020-06-20,532,693.6870564379901,3.5596559278845,2959,40,state,OK
264,40,or,2019-01-05,0.0,2020-06-20,532,716.0864432597099,4.4490064771577,2626,41,state,OR
265,41,pa,2019-01-05,0.0,2020-06-20,532,713.9316054715599,2.2494577160424,9723,42,state,PA
266,42,pr,2019-01-05,0.0,2020-06-20,532,476.84974298142,4.0791359163499,2529,72,state,PR
267,43,ri,2019-01-05,0.0,2020-06-20,532,695.4993788819901,7.6415158721594,805,44,state,RI
268,44,sc,2019-01-05,0.0,2020-06-20,532,669.50164365549,3.8331728159460003,3042,45,state,SC
269,45,sd,2019-01-05,0.0,2020-06-20,532,584.48392036753,8.7449954793702,653,46,state,SD
270,46,tn,2019-01-05,0.0,2020-06-20,532,687.44298565524,3.2721512694347994,4113,47,state,TN
