fips,date,state,country,aggregate_level,current_icu,current_hospitalized
48003,2020-06-22,TX,USA,county,0,1
48003,2020-06-23,TX,USA,county,1,2
48003,2020-06-24,TX,USA,county,1,2
48003,2020-06-25,TX,USA,county,1,2
48003,2020-06-26,TX,USA,county,1,2
48003,2020-06-27,TX,USA,county,1,2
48003,2020-06-28,TX,USA,county,1,2
48003,2020-06-29,TX,USA,county,1,2
48003,2020-06-30,TX,USA,county,1,2
48003,2020-07-01,TX,USA,county,1,2
48003,2020-07-02,TX,USA,county,1,2
48003,2020-07-03,TX,USA,county,1,3
48003,2020-07-04,TX,USA,county,1,3
48003,2020-07-05,TX,USA,county,1,4
48003,2020-07-06,TX,USA,county,2,3
48003,2020-07-07,TX,USA,county,1,3
48003,2020-07-08,TX,USA,county,1,3
48003,2020-07-09,TX,USA,county,2,4
48003,2020-07-10,TX,USA,county,2,4
48003,2020-07-11,TX,USA,county,2,4
48003,2020-07-12,TX,USA,county,2,4
48003,2020-07-13,TX,USA,county,2,4
48003,2020-07-14,TX,USA,county,2,5
48003,2020-07-15,TX,USA,county,2,5
48003,2020-07-16,TX,USA,county,2,5
48003,2020-07-17,TX,USA,county,2,5
48003,2020-07-18,TX,USA,county,2,4
48003,2020-07-19,TX,USA,county,2,4
48003,2020-07-20,TX,USA,county,1,4
48003,2020-07-21,TX,USA,county,1,4
48003,2020-07-22,TX,USA,county,2,5
48003,2020-07-23,TX,USA,county,1,2
48003,2020-07-24,TX,USA,county,2,4
48003,2020-07-25,TX,USA,county,2,5
48003,2020-07-26,TX,USA,county,2,5
48003,2020-07-27,TX,USA,county,2,5
48003,2020-07-28,TX,USA,county,1,4
48003,2020-07-29,TX,USA,county,1,4
48003,2020-07-30,TX,USA,county,2,4
48003,2020-07-31,TX,USA,county,2,4
48003,2020-08-01,TX,USA,county,2,3
48003,2020-08-02,TX,USA,county,1,3
48003,2020-08-03,TX,USA,county,1,3
48003,2020-08-04,TX,USA,county,1,4
48003,2020-08-05,TX,USA,county,1,3
48003,2020-08-06,TX,USA,county,1,3
48003,2020-08-07,TX,USA,county,1,3
48003,2020-08-08,TX,USA,county,1,3
48003,2020-08-09,TX,USA,county,1,3
48003,2020-08-10,TX,USA,county,1,3
48003,2020-08-11,TX,USA,county,1,3
48003,2020-08-12,TX,USA,county,1,3
48003,2020-08-13,TX,USA,county,1,3
48003,2020-08-14,TX,USA,county,1,3
48003,2020-08-15,TX,USA,county,1,3
48003,2020-08-16,TX,USA,county,1,3
48003,2020-08-17,TX,USA,county,1,3
48003,2020-08-18,TX,USA,county,1,3
48003,2020-08-19,TX,USA,county,1,3
48003,2020-08-20,TX,USA,county,1,2
48003,2020-08-21,TX,USA,county,1,2
48003,2020-08-22,TX,USA,county,1,3
48003,2020-08-23,TX,USA,county,1,3
48003,2020-08-24,TX,USA,county,1,3
48003,2020-08-25,TX,USA,county,1,2
48003,2020-08-26,TX,USA,county,1,3
48003,2020-08-27,TX,USA,county,1,2
48003,2020-08-28,TX,USA,county,1,2
48003,2020-08-29,TX,USA,county,1,2
