,geo_value,time_value,direction,issue,lag,value,stderr,sample_size
46,tn,2019-01-02,,2020-06-20,535,611.256260637,3.0282495250754,4113
47,tx,2019-01-02,,2020-06-20,535,637.28489883935,1.522505866549,15767
48,ut,2019-01-02,,2020-06-20,535,667.36929460581,5.1179938994029,1687
49,va,2019-01-02,,2020-06-20,535,594.11362778407,2.7911761580417,5298
50,vi,2019-01-02,,2020-06-20,535,345.10465116279,22.755351614626,86
51,vt,2019-01-02,,2020-06-20,535,476.7792706334,8.606068563711,521
52,wa,2019-01-02,,2020-06-20,535,647.97921914358,3.0331655683739,4764
53,wi,2019-01-02,,2020-06-20,535,609.57513416816,2.7805883235566,4472
54,wv,2019-01-02,,2020-06-20,535,576.69201759899,5.4225405095553,1591
55,wy,2019-01-02,,2020-06-20,535,555.9902200489,9.4094355618648,409
0,ak,2019-01-03,-1,2020-06-20,534,501.93333333333,10.244700142657,525
1,al,2019-01-03,-1,2020-06-20,534,619.01747742499,3.0675153601435,3433
2,ar,2019-01-03,-1,2020-06-20,534,626.33442164179,3.8537684634465,2144
3,as,2019-01-03,-1,2020-06-20,534,392.3125,52.233008456138,32
4,az,2019-01-03,-1,2020-06-20,534,647.86386554622,3.2395907055534,4165
5,ca,2019-01-03,-1,2020-06-20,534,667.96543968165,1.2673961301617,23119
6,co,2019-01-03,-1,2020-06-20,534,617.69497301903,3.4891459715054,3521
7,ct,2019-01-03,-1,2020-06-20,534,624.87781225756,3.4663466836573,2578
8,dc,2019-01-03,0,2020-06-20,534,479.96436525612,8.8138881157304,449
9,de,2019-01-03,-1,2020-06-20,534,598.52220248668,7.8502737178568,563
10,fl,2019-01-03,-1,2020-06-20,534,604.00809075719,1.7196274400373,11371
11,ga,2019-01-03,-1,2020-06-20,534,613.15266207896,2.5634893818654,5522
12,gu,2019-01-03,-1,2020-06-20,534,560.43975903614,20.135003367956,166
13,hi,2019-01-03,-1,2020-06-20,534,616.00839328537,6.6517964728122,834
14,ia,2019-01-03,-1,2020-06-20,534,618.62785388128,3.4140261348996,2628
15,id,2019-01-03,0,2020-06-20,534,630.25547445255,6.4280959299653,959
16,il,2019-01-03,-1,2020-06-20,534,641.64879107254,1.9803092706413,9678
17,in,2019-01-03,-1,2020-06-20,534,612.03203661327,2.7286761512066,4807
18,ks,2019-01-03,-1,2020-06-20,534,632.64620630861,3.6532342374767,2346
19,ky,2019-01-03,-1,2020-06-20,534,601.52548062252,3.1907081777585,3277
20,la,2019-01-03,-1,2020-06-20,534,595.87510866416,3.2351924036662,3451
21,ma,2019-01-03,-1,2020-06-20,534,582.43185483871,2.8245517189289,4960
22,md,2019-01-03,-1,2020-06-20,534,609.86955407483,2.9188718263426,3902
23,me,2019-01-03,-1,2020-06-20,534,539.93190298507,5.890336832866,1072
24,mi,2019-01-03,-1,2020-06-20,534,614.53419434194,2.1819360002597,8130
25,mn,2019-01-03,-1,2020-06-20,534,589.09088693957,2.9395179772508,4104
26,mo,2019-01-03,-1,2020-06-20,534,632.3009773434,2.6725677258194,4502
27,mp,2019-01-03,-1,2020-06-20,534,474.97777777778,37.140512456674,45
28,ms,2019-01-03,-1,2020-06-20,534,595.89100185529,4.0641565071155,2156
29,mt,2019-01-03,-1,2020-06-20,534,558.33333333333,7.3606022491123,837
30,nc,2019-01-03,-1,2020-06-20,534,570.80893178472,2.3983540218595,6113
31,nd,2019-01-03,-1,2020-06-20,534,539.32517482517,7.2945971885784,572
32,ne,2019-01-03,-1,2020-06-20,534,616.33149171271,4.5446467584001,1629
33,nh,2019-01-03,-1,2020-06-20,534,603.92290988056,6.1541228435588,921
34,nj,2019-01-03,-1,2020-06-20,534,654.2030230708,2.177531290907,6285
35,nm,2019-01-03,-1,2020-06-20,534,583.99100968188,5.543714888282,1446
36,nv,2019-01-03,-1,2020-06-20,534,659.85455543359,4.5029256644426,1822
37,ny,2019-01-03,-1,2020-06-20,534,609.47827804107,1.5185947302883,15192
38,oh,2019-01-03,-1,2020-06-20,534,631.3111785753,1.9746661350745,9223
39,ok,2019-01-03,0,2020-06-20,534,708.38074324324,3.6649724103525,2960
40,or,2019-01-03,-1,2020-06-20,534,647.75675675676,3.9211672719648,2627
41,pa,2019-01-03,-1,2020-06-20,534,616.68596996503,1.919880224404,9722
42,pr,2019-01-03,-1,2020-06-20,534,403.9996039604,3.7333092807942,2525
43,ri,2019-01-03,-1,2020-06-20,534,593.68362282878,6.863891982879,806
44,sc,2019-01-03,-1,2020-06-20,534,589.89089714098,3.4177572613428,3043
45,sd,2019-01-03,-1,2020-06-20,534,540.12844036697,7.7839537455787,654
46,tn,2019-01-03,-1,2020-06-20,534,612.75686846584,2.9212177561821,4113
47,tx,2019-01-03,-1,2020-06-20,534,637.95768840396,1.4522970942319,15764
48,ut,2019-01-03,-1,2020-06-20,534,660.58506224066,4.8791067069491,1687
49,va,2019-01-03,-1,2020-06-20,534,602.86488016607,2.6740044591725,5299
50,vi,2019-01-03,-1,2020-06-20,534,326.93023255814,17.709456234909,86
51,vt,2019-01-03,0,2020-06-20,534,504.20729366603,8.5524678013685,521
52,wa,2019-01-03,-1,2020-06-20,534,652.61146095718,2.9510766772468,4764
53,wi,2019-01-03,-1,2020-06-20,534,611.49575324095,2.6266012868585,4474
54,wv,2019-01-03,-1,2020-06-20,534,572.91640477687,5.0339861383873,1591
55,wy,2019-01-03,-1,2020-06-20,534,569.40831295844,9.1340699357204,409
0,ak,2019-01-04,-1,2020-06-20,533,512.38022813688,10.272474017942,526
1,al,2019-01-04,-1,2020-06-20,533,593.66161910309,2.9340472313666,3434
2,ar,2019-01-04,-1,2020-06-20,533,603.9953358209,3.6613864163137,2144
3,as,2019-01-04,-1,2020-06-20,533,303.2,54.031546963111,35
4,az,2019-01-04,-1,2020-06-20,533,638.48919308357,3.1699208024064,4164
5,ca,2019-01-04,-1,2020-06-20,533,660.16225337487,1.2317191865529,23112
6,co,2019-01-04,-1,2020-06-20,533,610.21016756603,3.377297829615,3521
7,ct,2019-01-04,-1,2020-06-20,533,607.89487975175,3.2682824184107,2578
8,dc,2019-01-04,0,2020-06-20,533,478.49220489978,8.2871408400342,449
9,de,2019-01-04,-1,2020-06-20,533,574.39786856128,7.6314522022434,563
10,fl,2019-01-04,-1,2020-06-20,533,593.21735689792,1.6420219378769,11373
11,ga,2019-01-04,-1,2020-06-20,533,599.34136182543,2.4338950273316,5522
12,gu,2019-01-04,-1,2020-06-20,533,530.80588235294,16.549818886934,170
13,hi,2019-01-04,-1,2020-06-20,533,611.98684210526,6.189525332541,836
14,ia,2019-01-04,-1,2020-06-20,533,583.51541682528,3.1438904272507,2627
15,id,2019-01-04,-1,2020-06-20,533,624.19186652763,6.2480441576149,959
16,il,2019-01-04,-1,2020-06-20,533,629.97468746771,1.8752792119691,9679
17,in,2019-01-04,-1,2020-06-20,533,594.63365924693,2.5955817605681,4807
18,ks,2019-01-04,-1,2020-06-20,533,598.05074626866,3.5005528864943,2345
19,ky,2019-01-04,-1,2020-06-20,533,582.72749465975,3.092794608614,3277
20,la,2019-01-04,-1,2020-06-20,533,570.89220515793,3.0904681254629,3451
21,ma,2019-01-04,-1,2020-06-20,533,560.87661290323,2.6792111685412,4960
22,md,2019-01-04,-1,2020-06-20,533,585.83452868852,2.7554797015593,3904
23,me,2019-01-04,-1,2020-06-20,533,537.75865294668,5.5366144095427,1069
24,mi,2019-01-04,-1,2020-06-20,533,598.19938499385,2.0911523496113,8130
25,mn,2019-01-04,-1,2020-06-20,533,564.33820662768,2.742707557023,4104
26,mo,2019-01-04,-1,2020-06-20,533,606.71612616615,2.5784076376336,4502
27,mp,2019-01-04,-1,2020-06-20,533,383.21739130435,33.585868218692,46
28,ms,2019-01-04,-1,2020-06-20,533,573.91284191006,3.7981755086589,2157
29,mt,2019-01-04,-1,2020-06-20,533,546.17921146953,6.8927877356783,837
30,nc,2019-01-04,-1,2020-06-20,533,560.81112019624,2.2787264091205,6115
31,nd,2019-01-04,-1,2020-06-20,533,507.12609457093,7.1761796287399,571
32,ne,2019-01-04,-1,2020-06-20,533,597.24539877301,4.2907841028509,1630
33,nh,2019-01-04,-1,2020-06-20,533,580.7437567861,5.5799724069874,921
34,nj,2019-01-04,-1,2020-06-20,533,634.45140766661,2.0440083040813,6287
35,nm,2019-01-04,-1,2020-06-20,533,568.07404844291,5.2585252365523,1445
36,nv,2019-01-04,-1,2020-06-20,533,645.19758507135,4.4703640249515,1822
37,ny,2019-01-04,-1,2020-06-20,533,589.22441722639,1.4498321094504,15186
38,oh,2019-01-04,-1,2020-06-20,533,607.96379011275,1.8870460887681,9224
39,ok,2019-01-04,0,2020-06-20,533,632.43412162162,3.1814998005638,2960
40,or,2019-01-04,-1,2020-06-20,533,646.95277989337,3.7997545984073,2626
41,pa,2019-01-04,-1,2020-06-20,533,592.418090142,1.8125172444222,9718
42,pr,2019-01-04,-1,2020-06-20,533,421.53560126582,3.6417003133575,2528
43,ri,2019-01-04,-1,2020-06-20,533,571.83726708075,6.714272988388,805
44,sc,2019-01-04,-1,2020-06-20,533,582.31340341656,3.2932919097419,3044
45,sd,2019-01-04,-1,2020-06-20,533,525.30886850153,7.1746829307421,654
46,tn,2019-01-04,-1,2020-06-20,533,596.07808319144,2.8118512253482,4111
47,tx,2019-01-04,-1,2020-06-20,533,614.96611890108,1.3841808501216,15761
48,ut,2019-01-04,-1,2020-06-20,533,645.22999407232,4.7052013438308,1687
49,va,2019-01-04,-1,2020-06-20,533,586.28401585205,2.5621344932345,5299
50,vi,2019-01-04,0,2020-06-20,533,391.55813953488,23.994827330461,86
51,vt,2019-01-04,0,2020-06-20,533,497.15930902111,8.1837909574852,521
52,wa,2019-01-04,-1,2020-06-20,533,644.62497376705,2.8771779100183,4765
53,wi,2019-01-04,-1,2020-06-20,533,582.35837245696,2.4691416909702,4473
54,wv,2019-01-04,-1,2020-06-20,533,555.75989943432,4.7145902861933,1591
55,wy,2019-01-04,-1,2020-06-20,533,553.30975609756,8.8099796432333,410
0,ak,2019-01-05,0,2020-06-20,532,586.06844106464,11.527986011194,526
1,al,2019-01-05,0,2020-06-20,532,686.9702970297,3.5405838816814,3434
2,ar,2019-01-05,0,2020-06-20,532,686.14032634033,4.5206018958679,2145
3,as,2019-01-05,-1,2020-06-20,532,377.72727272727,56.037329832093,33
4,az,2019-01-05,0,2020-06-20,532,695.7753483902,3.5454941578877,4162
5,ca,2019-01-05,0,2020-06-20,532,738.77144711226,1.4047958360599,23115
6,co,2019-01-05,0,2020-06-20,532,672.25106503834,3.8801654501716,3521
7,ct,2019-01-05,0,2020-06-20,532,738.84490112447,4.1441558235798,2579
8,dc,2019-01-05,1,2020-06-20,532,605.00668151448,10.144268102228,449
9,de,2019-01-05,0,2020-06-20,532,706.09608540925,9.0012285889196,562
10,fl,2019-01-05,0,2020-06-20,532,676.39372086888,1.8465063492997,11371
11,ga,2019-01-05,0,2020-06-20,532,694.23963050172,2.8107044178469,5521
12,gu,2019-01-05,0,2020-06-20,532,645.07602339181,19.331792411899,171
13,hi,2019-01-05,0,2020-06-20,532,658.7829736211,7.0794655687541,834
14,ia,2019-01-05,0,2020-06-20,532,681.08035034273,3.948927606095,2626
15,id,2019-01-05,0,2020-06-20,532,698.61169102296,6.9801270834591,958
16,il,2019-01-05,0,2020-06-20,532,702.11025005166,2.0948561957731,9678
17,in,2019-01-05,0,2020-06-20,532,686.89538269551,3.0201874113154,4808
18,ks,2019-01-05,0,2020-06-20,532,688.40682302772,4.272767202181,2345
19,ky,2019-01-05,0,2020-06-20,532,702.61446886447,3.6716905395402,3276
20,la,2019-01-05,0,2020-06-20,532,634.75282526804,3.4834577385911,3451
21,ma,2019-01-05,0,2020-06-20,532,676.64475806452,3.2930836566074,4960
22,md,2019-01-05,0,2020-06-20,532,725.81650435674,3.3554432389546,3902
23,me,2019-01-05,0,2020-06-20,532,620.95790458372,6.9726740534408,1069
24,mi,2019-01-05,0,2020-06-20,532,687.56077755906,2.4219677835277,8128
25,mn,2019-01-05,0,2020-06-20,532,643.74902534113,3.3734920755057,4104
26,mo,2019-01-05,0,2020-06-20,532,695.82514996667,3.0561071690649,4501
27,mp,2019-01-05,0,2020-06-20,532,522.08510638298,48.65054864279,47
28,ms,2019-01-05,0,2020-06-20,532,644.45062586926,4.4841548281364,2157
29,mt,2019-01-05,0,2020-06-20,532,619.43608124253,8.5301599786529,837
30,nc,2019-01-05,0,2020-06-20,532,663.94995911693,2.7813161588012,6115
31,nd,2019-01-05,0,2020-06-20,532,571.55866900175,8.9361745099685,571
32,ne,2019-01-05,0,2020-06-20,532,673.93615715163,5.172160231234,1629
33,nh,2019-01-05,0,2020-06-20,532,698.85776330076,7.15778236118,921
34,nj,2019-01-05,0,2020-06-20,532,772.6099968163,2.5704426654284,6282
35,nm,2019-01-05,0,2020-06-20,532,623.00622406639,6.1617074647879,1446
36,nv,2019-01-05,0,2020-06-20,532,696.00439319055,4.857510376057,1821
37,ny,2019-01-05,0,2020-06-20,532,713.07883817427,1.8190864092207,15183
38,oh,2019-01-05,0,2020-06-20,532,708.74278898287,2.2221418571363,9222
39,ok,2019-01-05,0,2020-06-20,532,693.68705643799,3.5596559278845,2959
40,or,2019-01-05,0,2020-06-20,532,716.08644325971,4.4490064771577,2626
41,pa,2019-01-05,0,2020-06-20,532,713.93160547156,2.2494577160424,9723
42,pr,2019-01-05,0,2020-06-20,532,476.84974298142,4.0791359163499,2529
43,ri,2019-01-05,0,2020-06-20,532,695.49937888199,7.6415158721594,805
44,sc,2019-01-05,0,2020-06-20,532,669.50164365549,3.833172815946,3042
45,sd,2019-01-05,0,2020-06-20,532,584.48392036753,8.7449954793702,653
46,tn,2019-01-05,0,2020-06-20,532,687.44298565524,3.2721512694348,4113
47,tx,2019-01-05,0,2020-06-20,532,676.8586018777,1.5789757820989,15764
48,ut,2019-01-05,0,2020-06-20,532,753.55186721992,5.6486661021008,1687
49,va,2019-01-05,0,2020-06-20,532,701.903189281,3.1043471506782,5299
50,vi,2019-01-05,0,2020-06-20,532,447.77906976744,25.511175637306,86
51,vt,2019-01-05,0,2020-06-20,532,589.41266794626,10.278074212835,521
52,wa,2019-01-05,0,2020-06-20,532,735.16533780948,3.3575023771147,4766
53,wi,2019-01-05,0,2020-06-20,532,674.19356280733,3.0455309690242,4474
54,wv,2019-01-05,0,2020-06-20,532,669.98114393463,5.8566759528023,1591
55,wy,2019-01-05,0,2020-06-20,532,619.56097560976,10.509882208761,410
0,ak,2019-01-06,1,2020-06-20,531,607.87428571429,11.818604403359,525
1,al,2019-01-06,0,2020-06-20,531,766.3552708212,3.6813480075928,3434
2,ar,2019-01-06,0,2020-06-20,531,762.42703962704,4.7929098326619,2145
3,as,2019-01-06,-1,2020-06-20,531,432.48387096774,60.553590784692,31
4,az,2019-01-06,1,2020-06-20,531,792.66018251681,3.8326406263221,4164
5,ca,2019-01-06,1,2020-06-20,531,812.57960984472,1.5042145203968,23119
