index,model_abbr,region_id,forecast_date,target_date,target_type,value
1720,COVIDhub-ensemble,1093,2020-09-07,2020-10-05,cases,18.0
1728,COVIDhub-ensemble,1095,2020-09-07,2020-09-14,cases,28.0
1736,COVIDhub-ensemble,1095,2020-09-07,2020-09-21,cases,31.0
1744,COVIDhub-ensemble,1095,2020-09-07,2020-09-28,cases,21.0
1752,COVIDhub-ensemble,1095,2020-09-07,2020-10-05,cases,21.0
1760,COVIDhub-ensemble,1097,2020-09-07,2020-09-14,cases,328.0
1768,COVIDhub-ensemble,1097,2020-09-07,2020-09-21,cases,328.0
1776,COVIDhub-ensemble,1097,2020-09-07,2020-09-28,cases,298.0
1784,COVIDhub-ensemble,1097,2020-09-07,2020-10-05,cases,270.0
1792,COVIDhub-ensemble,1099,2020-09-07,2020-09-14,cases,1.0
1800,COVIDhub-ensemble,1099,2020-09-07,2020-09-21,cases,1.0
1808,COVIDhub-ensemble,1099,2020-09-07,2020-09-28,cases,2.0
1816,COVIDhub-ensemble,1099,2020-09-07,2020-10-05,cases,2.0
1824,COVIDhub-ensemble,1101,2020-09-07,2020-09-14,cases,233.0
1832,COVIDhub-ensemble,1101,2020-09-07,2020-09-21,cases,237.0
1840,COVIDhub-ensemble,1101,2020-09-07,2020-09-28,cases,200.0
1848,COVIDhub-ensemble,1101,2020-09-07,2020-10-05,cases,158.0
1856,COVIDhub-ensemble,1103,2020-09-07,2020-09-14,cases,85.0
1864,COVIDhub-ensemble,1103,2020-09-07,2020-09-21,cases,59.0
1872,COVIDhub-ensemble,1103,2020-09-07,2020-09-28,cases,47.0
1880,COVIDhub-ensemble,1103,2020-09-07,2020-10-05,cases,38.0
1888,COVIDhub-ensemble,1105,2020-09-07,2020-09-14,cases,3.0
1896,COVIDhub-ensemble,1105,2020-09-07,2020-09-21,cases,3.0
1904,COVIDhub-ensemble,1105,2020-09-07,2020-09-28,cases,3.0
1912,COVIDhub-ensemble,1105,2020-09-07,2020-10-05,cases,3.0
1920,COVIDhub-ensemble,1107,2020-09-07,2020-09-14,cases,15.0
1928,COVIDhub-ensemble,1107,2020-09-07,2020-09-21,cases,14.0
1936,COVIDhub-ensemble,1107,2020-09-07,2020-09-28,cases,13.0
1944,COVIDhub-ensemble,1107,2020-09-07,2020-10-05,cases,13.0
1952,COVIDhub-ensemble,1109,2020-09-07,2020-09-14,cases,28.0
1960,COVIDhub-ensemble,1109,2020-09-07,2020-09-21,cases,27.0
1968,COVIDhub-ensemble,1109,2020-09-07,2020-09-28,cases,26.0
1976,COVIDhub-ensemble,1109,2020-09-07,2020-10-05,cases,24.0
