date,state_code,county_name,fips_code,acute_staffed,acute_occupied,icu_staffed,icu_occupied,ventilators,ventilators_occupied,covid_confirmed,covid_suspected,covid_icu,covid_ventilator
2020-04-17,NV,Carson City,32510,188,101,24,12,15,7,4,5,2,1
2020-04-17,NV,Churchill,32001,25,9,4,2,4,0,0,0,0,0
2020-04-17,NV,Clark,32003,5599,3624,655,518,794,367,333,196,153,116
2020-04-17,NV,Douglas,32005,19,11,4,2,4,0,0,1,0,0
2020-04-17,NV,Elko,32007,75,6,7,1,6,0,0,0,0,0
2020-04-17,NV,Esmeralda,32009,0,0,0,0,0,0,0,0,0,0
2020-04-17,NV,Eureka,32011,0,0,0,0,0,0,0,0,0,0
2020-04-17,NV,Humboldt,32013,25,12,3,1,7,0,2,0,1,0
2020-04-17,NV,Lander,32015,5,1,0,0,0,0,0,0,0,0
2020-04-17,NV,Lincoln,32017,4,2,0,0,3,0,0,0,0,0
2020-04-17,NV,Lyon,32019,14,1,0,0,0,0,0,0,0,0
2020-04-17,NV,Mineral,32021,11,6,0,0,1,0,0,0,0,0
2020-04-17,NV,Nye,32023,25,11,0,0,6,0,0,4,0,0
2020-04-17,NV,Pershing,32027,13,0,0,0,0,0,0,0,0,0
2020-04-17,NV,Storey,32029,0,0,0,0,0,0,0,0,0,0
2020-04-17,NV,Washoe,32031,1497,844,162,91,198,62,73,56,25,21
2020-04-17,NV,White Pine,32033,25,7,2,0,5,0,0,1,0,0
2020-04-18,NV,Carson City,32510,188,99,24,3,22,5,4,5,2,1
2020-04-18,NV,Churchill,32001,25,11,4,2,4,0,0,0,0,0
2020-04-18,NV,Clark,32003,5264,3428,633,475,751,333,318,206,158,116
2020-04-18,NV,Douglas,32005,19,11,4,2,4,0,0,1,0,0
2020-04-18,NV,Elko,32007,75,9,7,0,6,0,0,1,0,0
2020-04-18,NV,Esmeralda,32009,0,0,0,0,0,0,0,0,0,0
2020-04-18,NV,Eureka,32011,0,0,0,0,0,0,0,0,0,0
2020-04-18,NV,Humboldt,32013,25,10,3,0,7,0,1,0,0,0
2020-04-18,NV,Lander,32015,5,1,0,0,0,0,0,0,0,0
2020-04-18,NV,Lincoln,32017,4,3,0,0,3,0,0,0,0,0
2020-04-18,NV,Lyon,32019,14,0,0,0,0,0,0,0,0,0
2020-04-18,NV,Mineral,32021,11,5,0,0,1,0,0,0,0,0
2020-04-18,NV,Nye,32023,0,0,0,0,0,0,0,0,0,0
2020-04-18,NV,Pershing,32027,0,0,0,0,0,0,0,0,0,0
2020-04-18,NV,Storey,32029,0,0,0,0,0,0,0,0,0,0
2020-04-18,NV,Washoe,32031,1446,908,162,89,196,59,106,56,24,15
2020-04-18,NV,White Pine,32033,25,6,2,0,5,0,0,2,0,0
2020-04-19,NV,Carson City,32510,159,72,24,5,15,1,4,8,3,1
2020-04-19,NV,Churchill,32001,25,10,2,1,4,0,0,0,0,0
2020-04-19,NV,Clark,32003,5551,3578,648,491,787,344,323,208,148,111
2020-04-19,NV,Douglas,32005,19,8,4,2,4,0,0,1,0,0
2020-04-19,NV,Elko,32007,75,11,7,0,6,0,0,1,0,0
2020-04-19,NV,Esmeralda,32009,0,0,0,0,0,0,0,0,0,0
2020-04-19,NV,Eureka,32011,0,0,0,0,0,0,0,0,0,0
2020-04-19,NV,Humboldt,32013,25,10,3,1,7,0,1,0,0,0
2020-04-19,NV,Lander,32015,5,1,0,0,0,0,0,0,0,0
2020-04-19,NV,Lincoln,32017,4,1,0,0,3,0,0,0,0,0
2020-04-19,NV,Lyon,32019,14,0,0,0,0,0,0,0,0,0
2020-04-19,NV,Mineral,32021,11,4,0,0,1,0,0,0,0,0
2020-04-19,NV,Nye,32023,25,14,0,0,6,0,0,1,0,0
2020-04-19,NV,Pershing,32027,0,0,0,0,0,0,0,0,0,0
2020-04-19,NV,Storey,32029,0,0,0,0,0,0,0,0,0,0
2020-04-19,NV,Washoe,32031,1837,835,162,91,196,51,73,52,19,11
2020-04-19,NV,White Pine,32033,25,5,2,1,5,0,0,2,0,0
2020-04-20,NV,Carson City,32510,188,91,24,13,22,5,3,10,3,1
2020-04-20,NV,Churchill,32001,25,14,2,1,4,0,0,0,0,0
2020-04-20,NV,Clark,32003,5472,3608,635,488,756,317,333,204,161,104
2020-04-20,NV,Douglas,32005,19,8,4,2,4,2,0,1,0,0
2020-04-20,NV,Elko,32007,75,11,7,0,6,0,0,1,0,0
2020-04-20,NV,Esmeralda,32009,0,0,0,0,0,0,0,0,0,0
2020-04-20,NV,Eureka,32011,0,0,0,0,0,0,0,0,0,0
2020-04-20,NV,Humboldt,32013,25,8,3,2,7,0,1,0,1,0
2020-04-20,NV,Lander,32015,5,1,0,0,0,0,0,0,0,0
2020-04-20,NV,Lincoln,32017,4,1,0,0,3,0,0,0,0,0
2020-04-20,NV,Lyon,32019,14,0,0,0,0,0,0,0,0,0
2020-04-20,NV,Mineral,32021,11,4,0,0,1,0,0,0,0,0
2020-04-20,NV,Nye,32023,25,14,0,0,6,0,0,1,0,0
2020-04-20,NV,Pershing,32027,13,0,0,0,0,0,0,0,0,0
2020-04-20,NV,Storey,32029,0,0,0,0,0,0,0,0,0,0
2020-04-20,NV,Washoe,32031,1334,870,162,86,198,48,73,24,23,14
2020-04-20,NV,White Pine,32033,25,6,2,0,5,0,0,2,0,0
2020-04-21,NV,Carson City,32510,188,109,24,16,22,8,3,9,2,2
2020-04-21,NV,Churchill,32001,25,13,4,2,4,0,0,0,0,0
2020-04-21,NV,Clark,32003,5592,3713,642,509,804,356,335,216,167,118
2020-04-21,NV,Douglas,32005,19,8,4,1,4,0,0,0,0,0
2020-04-21,NV,Elko,32007,75,8,7,2,6,0,0,0,0,0
2020-04-21,NV,Esmeralda,32009,0,0,0,0,0,0,0,0,0,0
2020-04-21,NV,Eureka,32011,0,0,0,0,0,0,0,0,0,0
2020-04-21,NV,Humboldt,32013,0,0,0,0,0,0,0,0,0,0
2020-04-21,NV,Lander,32015,5,1,0,0,0,0,0,0,0,0
2020-04-21,NV,Lincoln,32017,4,1,0,0,0,0,0,0,0,0
2020-04-21,NV,Lyon,32019,14,0,0,0,0,0,0,0,0,0
2020-04-21,NV,Mineral,32021,11,3,0,0,1,0,0,0,0,0
2020-04-21,NV,Nye,32023,25,9,0,0,6,0,0,2,0,0
2020-04-21,NV,Pershing,32027,13,0,0,0,0,0,0,0,0,0
2020-04-21,NV,Storey,32029,0,0,0,0,0,0,0,0,0,0
2020-04-21,NV,Washoe,32031,1406,839,162,88,198,55,72,44,24,18
2020-04-21,NV,White Pine,32033,25,7,2,0,5,0,0,1,0,0
2020-04-22,NV,Carson City,32510,188,103,24,17,22,6,3,11,4,3
2020-04-22,NV,Churchill,32001,25,10,4,1,4,0,0,1,0,0
2020-04-22,NV,Clark,32003,5474,3748,647,515,804,336,324,200,152,113
2020-04-22,NV,Douglas,32005,19,9,4,2,4,0,0,1,0,0
2020-04-22,NV,Elko,32007,75,3,7,0,6,0,0,0,0,0
2020-04-22,NV,Esmeralda,32009,0,0,0,0,0,0,0,0,0,0
2020-04-22,NV,Eureka,32011,0,0,0,0,0,0,0,0,0,0
2020-04-22,NV,Humboldt,32013,25,13,3,1,7,0,0,0,0,0
2020-04-22,NV,Lander,32015,5,1,0,0,0,0,0,0,0,0
2020-04-22,NV,Lincoln,32017,4,1,0,0,3,0,0,0,0,0
2020-04-22,NV,Lyon,32019,14,0,0,0,0,0,0,0,0,0
2020-04-22,NV,Mineral,32021,11,3,0,0,1,0,0,0,0,0
2020-04-22,NV,Nye,32023,25,8,0,0,6,0,0,2,0,0
2020-04-22,NV,Pershing,32027,13,0,0,0,0,0,0,0,0,0
2020-04-22,NV,Storey,32029,0,0,0,0,0,0,0,0,0,0
2020-04-22,NV,Washoe,32031,1310,871,162,87,190,52,73,21,20,17
2020-04-22,NV,White Pine,32033,25,5,2,0,5,0,0,0,0,0
2020-04-23,NV,Carson City,32510,188,87,24,14,22,5,1,6,2,3
2020-04-23,NV,Churchill,32001,0,0,0,0,0,0,0,0,0,0
