,Unnamed: 0,geo_value,date,direction,issue,lag,smoothed_adj_doctor_visits,stderr,sample_size,fips,aggregate_level,state
110,8,de,2020-02-03,0.0,2020-06-09,127,0.0,,,10,state,DE
111,9,fl,2020-02-03,0.0,2020-06-09,127,0.144759,,,12,state,FL
112,10,ga,2020-02-03,0.0,2020-06-09,127,0.043618000000000004,,,13,state,GA
113,11,hi,2020-02-03,0.0,2020-06-09,127,0.0,,,15,state,HI
114,12,ia,2020-02-03,0.0,2020-06-09,127,0.081811,,,19,state,IA
115,13,id,2020-02-03,0.0,2020-06-09,127,0.0,,,16,state,ID
116,14,il,2020-02-03,0.0,2020-06-09,127,0.140675,,,17,state,IL
117,15,in,2020-02-03,0.0,2020-06-09,127,0.091476,,,18,state,IN
118,16,ks,2020-02-03,0.0,2020-06-09,127,0.024175,,,20,state,KS
119,17,ky,2020-02-03,0.0,2020-06-09,127,0.12681900000000002,,,21,state,KY
120,18,la,2020-02-03,0.0,2020-06-09,127,0.260801,,,22,state,LA
121,19,ma,2020-02-03,0.0,2020-06-09,127,0.024863,,,25,state,MA
122,20,md,2020-02-03,0.0,2020-06-09,127,0.29517600000000005,,,24,state,MD
123,21,me,2020-02-03,0.0,2020-06-09,127,0.0,,,23,state,ME
124,22,mi,2020-02-03,0.0,2020-06-09,127,0.267311,,,26,state,MI
125,23,mn,2020-02-03,0.0,2020-06-09,127,0.0,,,27,state,MN
126,24,mo,2020-02-03,0.0,2020-06-09,127,0.201174,,,29,state,MO
127,25,ms,2020-02-03,0.0,2020-06-09,127,0.193271,,,28,state,MS
128,26,mt,2020-02-03,0.0,2020-06-09,127,0.0,,,30,state,MT
129,27,nc,2020-02-03,0.0,2020-06-09,127,0.047098,,,37,state,NC
130,28,nd,2020-02-03,0.0,2020-06-09,127,0.0,,,38,state,ND
131,29,ne,2020-02-03,0.0,2020-06-09,127,0.064125,,,31,state,NE
132,30,nh,2020-02-03,0.0,2020-06-09,127,0.10893599999999999,,,33,state,NH
133,31,nj,2020-02-03,0.0,2020-06-09,127,0.35985,,,34,state,NJ
134,32,nm,2020-02-03,0.0,2020-06-09,127,0.0,,,35,state,NM
135,33,nv,2020-02-03,0.0,2020-06-09,127,0.055810000000000005,,,32,state,NV
136,34,ny,2020-02-03,0.0,2020-06-09,127,0.312422,,,36,state,NY
137,35,oh,2020-02-03,0.0,2020-06-09,127,0.124944,,,39,state,OH
138,36,ok,2020-02-03,0.0,2020-06-09,127,0.089959,,,40,state,OK
139,37,or,2020-02-03,0.0,2020-06-09,127,0.0,,,41,state,OR
140,38,pa,2020-02-03,0.0,2020-06-09,127,0.24203000000000002,,,42,state,PA
141,39,ri,2020-02-03,0.0,2020-06-09,127,0.0,,,44,state,RI
142,40,sc,2020-02-03,0.0,2020-06-09,127,0.08682899999999999,,,45,state,SC
143,41,sd,2020-02-03,0.0,2020-06-09,127,0.0,,,46,state,SD
144,42,tn,2020-02-03,0.0,2020-06-09,127,0.309804,,,47,state,TN
145,43,tx,2020-02-03,0.0,2020-06-09,127,0.17105,,,48,state,TX
146,44,ut,2020-02-03,0.0,2020-06-09,127,0.042616,,,49,state,UT
147,45,va,2020-02-03,0.0,2020-06-09,127,0.247173,,,51,state,VA
148,46,vt,2020-02-03,0.0,2020-06-09,127,0.0,,,50,state,VT
149,47,wa,2020-02-03,0.0,2020-06-09,127,0.066737,,,53,state,WA
150,48,wi,2020-02-03,0.0,2020-06-09,127,0.100755,,,55,state,WI
151,49,wv,2020-02-03,0.0,2020-06-09,127,0.0,,,54,state,WV
152,50,wy,2020-02-03,0.0,2020-06-09,127,0.0,,,56,state,WY
153,0,ak,2020-02-04,0.0,2020-06-09,126,0.18720499999999998,,,02,state,AK
154,1,al,2020-02-04,0.0,2020-06-09,126,0.048417,,,01,state,AL
155,2,ar,2020-02-04,0.0,2020-06-09,126,0.18019200000000002,,,05,state,AR
156,3,az,2020-02-04,0.0,2020-06-09,126,0.075132,,,04,state,AZ
157,4,ca,2020-02-04,0.0,2020-06-09,126,0.15428499999999998,,,06,state,CA
158,5,co,2020-02-04,0.0,2020-06-09,126,0.19676300000000002,,,08,state,CO
159,6,ct,2020-02-04,0.0,2020-06-09,126,0.181788,,,09,state,CT
160,7,dc,2020-02-04,0.0,2020-06-09,126,0.0,,,11,state,DC
161,8,de,2020-02-04,0.0,2020-06-09,126,0.0,,,10,state,DE
162,9,fl,2020-02-04,0.0,2020-06-09,126,0.14422000000000001,,,12,state,FL
163,10,ga,2020-02-04,0.0,2020-06-09,126,0.043375,,,13,state,GA
164,11,hi,2020-02-04,0.0,2020-06-09,126,0.0,,,15,state,HI
165,12,ia,2020-02-04,0.0,2020-06-09,126,0.081811,,,19,state,IA
166,13,id,2020-02-04,0.0,2020-06-09,126,0.0,,,16,state,ID
167,14,il,2020-02-04,0.0,2020-06-09,126,0.140413,,,17,state,IL
168,15,in,2020-02-04,0.0,2020-06-09,126,0.089822,,,18,state,IN
169,16,ks,2020-02-04,0.0,2020-06-09,126,0.024175,,,20,state,KS
170,17,ky,2020-02-04,0.0,2020-06-09,126,0.12601400000000001,,,21,state,KY
171,18,la,2020-02-04,0.0,2020-06-09,126,0.25966500000000003,,,22,state,LA
172,19,ma,2020-02-04,0.0,2020-06-09,126,0.024575,,,25,state,MA
173,20,md,2020-02-04,0.0,2020-06-09,126,0.29517600000000005,,,24,state,MD
174,21,me,2020-02-04,0.0,2020-06-09,126,0.0,,,23,state,ME
175,22,mi,2020-02-04,0.0,2020-06-09,126,0.267311,,,26,state,MI
176,23,mn,2020-02-04,0.0,2020-06-09,126,0.0,,,27,state,MN
177,24,mo,2020-02-04,0.0,2020-06-09,126,0.201234,,,29,state,MO
178,25,ms,2020-02-04,0.0,2020-06-09,126,0.191495,,,28,state,MS
179,26,mt,2020-02-04,0.0,2020-06-09,126,0.0,,,30,state,MT
180,27,nc,2020-02-04,0.0,2020-06-09,126,0.046053,,,37,state,NC
181,28,nd,2020-02-04,0.0,2020-06-09,126,0.0,,,38,state,ND
182,29,ne,2020-02-04,0.0,2020-06-09,126,0.068897,,,31,state,NE
183,30,nh,2020-02-04,0.0,2020-06-09,126,0.107045,,,33,state,NH
184,31,nj,2020-02-04,0.0,2020-06-09,126,0.357227,,,34,state,NJ
185,32,nm,2020-02-04,0.0,2020-06-09,126,0.0,,,35,state,NM
186,33,nv,2020-02-04,0.0,2020-06-09,126,0.055810000000000005,,,32,state,NV
187,34,ny,2020-02-04,0.0,2020-06-09,126,0.313539,,,36,state,NY
188,35,oh,2020-02-04,0.0,2020-06-09,126,0.12473699999999999,,,39,state,OH
189,36,ok,2020-02-04,0.0,2020-06-09,126,0.089959,,,40,state,OK
190,37,or,2020-02-04,0.0,2020-06-09,126,0.0,,,41,state,OR
191,38,pa,2020-02-04,0.0,2020-06-09,126,0.240583,,,42,state,PA
192,39,ri,2020-02-04,0.0,2020-06-09,126,0.0,,,44,state,RI
193,40,sc,2020-02-04,0.0,2020-06-09,126,0.08682899999999999,,,45,state,SC
194,41,sd,2020-02-04,0.0,2020-06-09,126,0.0,,,46,state,SD
195,42,tn,2020-02-04,0.0,2020-06-09,126,0.309593,,,47,state,TN
196,43,tx,2020-02-04,0.0,2020-06-09,126,0.170737,,,48,state,TX
197,44,ut,2020-02-04,0.0,2020-06-09,126,0.042616,,,49,state,UT
198,45,va,2020-02-04,0.0,2020-06-09,126,0.247173,,,51,state,VA
199,46,vt,2020-02-04,0.0,2020-06-09,126,0.0,,,50,state,VT
200,47,wa,2020-02-04,0.0,2020-06-09,126,0.066219,,,53,state,WA
201,48,wi,2020-02-04,0.0,2020-06-09,126,0.100755,,,55,state,WI
202,49,wv,2020-02-04,0.0,2020-06-09,126,0.0,,,54,state,WV
203,50,wy,2020-02-04,0.0,2020-06-09,126,0.0,,,56,state,WY
204,0,ak,2020-02-05,0.0,2020-06-09,125,0.071758,,,02,state,AK
205,1,al,2020-02-05,0.0,2020-06-09,125,0.048417,,,01,state,AL
206,2,ar,2020-02-05,0.0,2020-06-09,125,0.18019200000000002,,,05,state,AR
207,3,az,2020-02-05,0.0,2020-06-09,125,0.075132,,,04,state,AZ
208,4,ca,2020-02-05,0.0,2020-06-09,125,0.15383,,,06,state,CA
209,5,co,2020-02-05,0.0,2020-06-09,125,0.195456,,,08,state,CO
210,6,ct,2020-02-05,0.0,2020-06-09,125,0.18141600000000002,,,09,state,CT
211,7,dc,2020-02-05,0.0,2020-06-09,125,0.0,,,11,state,DC
212,8,de,2020-02-05,0.0,2020-06-09,125,0.0,,,10,state,DE
213,9,fl,2020-02-05,0.0,2020-06-09,125,0.144479,,,12,state,FL
214,10,ga,2020-02-05,0.0,2020-06-09,125,0.043375,,,13,state,GA
215,11,hi,2020-02-05,0.0,2020-06-09,125,0.0,,,15,state,HI
216,12,ia,2020-02-05,0.0,2020-06-09,125,0.088136,,,19,state,IA
217,13,id,2020-02-05,0.0,2020-06-09,125,0.0,,,16,state,ID
218,14,il,2020-02-05,0.0,2020-06-09,125,0.140271,,,17,state,IL
219,15,in,2020-02-05,0.0,2020-06-09,125,0.088434,,,18,state,IN
220,16,ks,2020-02-05,0.0,2020-06-09,125,0.024175,,,20,state,KS
221,17,ky,2020-02-05,0.0,2020-06-09,125,0.125389,,,21,state,KY
222,18,la,2020-02-05,0.0,2020-06-09,125,0.260922,,,22,state,LA
223,19,ma,2020-02-05,0.0,2020-06-09,125,0.024381,,,25,state,MA
224,20,md,2020-02-05,0.0,2020-06-09,125,0.29517600000000005,,,24,state,MD
225,21,me,2020-02-05,0.0,2020-06-09,125,0.0,,,23,state,ME
226,22,mi,2020-02-05,0.0,2020-06-09,125,0.267311,,,26,state,MI
227,23,mn,2020-02-05,0.0,2020-06-09,125,0.0,,,27,state,MN
228,24,mo,2020-02-05,0.0,2020-06-09,125,0.19934000000000002,,,29,state,MO
229,25,ms,2020-02-05,0.0,2020-06-09,125,0.189746,,,28,state,MS
230,26,mt,2020-02-05,0.0,2020-06-09,125,0.0,,,30,state,MT
231,27,nc,2020-02-05,0.0,2020-06-09,125,0.044965,,,37,state,NC
232,28,nd,2020-02-05,0.0,2020-06-09,125,0.0,,,38,state,ND
233,29,ne,2020-02-05,0.0,2020-06-09,125,0.067637,,,31,state,NE
234,30,nh,2020-02-05,0.0,2020-06-09,125,0.105277,,,33,state,NH
235,31,nj,2020-02-05,0.0,2020-06-09,125,0.35499,,,34,state,NJ
236,32,nm,2020-02-05,0.0,2020-06-09,125,0.0,,,35,state,NM
237,33,nv,2020-02-05,0.0,2020-06-09,125,0.055810000000000005,,,32,state,NV
238,34,ny,2020-02-05,0.0,2020-06-09,125,0.313386,,,36,state,NY
239,35,oh,2020-02-05,0.0,2020-06-09,125,0.12456600000000001,,,39,state,OH
240,36,ok,2020-02-05,0.0,2020-06-09,125,0.089959,,,40,state,OK
241,37,or,2020-02-05,0.0,2020-06-09,125,0.0,,,41,state,OR
242,38,pa,2020-02-05,0.0,2020-06-09,125,0.239204,,,42,state,PA
243,39,ri,2020-02-05,0.0,2020-06-09,125,0.0,,,44,state,RI
244,40,sc,2020-02-05,0.0,2020-06-09,125,0.08682899999999999,,,45,state,SC
245,41,sd,2020-02-05,0.0,2020-06-09,125,0.0,,,46,state,SD
246,42,tn,2020-02-05,0.0,2020-06-09,125,0.30940500000000004,,,47,state,TN
247,43,tx,2020-02-05,0.0,2020-06-09,125,0.171674,,,48,state,TX
248,44,ut,2020-02-05,0.0,2020-06-09,125,0.042616,,,49,state,UT
249,45,va,2020-02-05,0.0,2020-06-09,125,0.247173,,,51,state,VA
250,46,vt,2020-02-05,0.0,2020-06-09,125,0.0,,,50,state,VT
251,47,wa,2020-02-05,0.0,2020-06-09,125,0.066219,,,53,state,WA
252,48,wi,2020-02-05,0.0,2020-06-09,125,0.100755,,,55,state,WI
253,49,wv,2020-02-05,0.0,2020-06-09,125,0.0,,,54,state,WV
254,50,wy,2020-02-05,0.0,2020-06-09,125,0.0,,,56,state,WY
255,0,ak,2020-02-06,0.0,2020-06-09,124,0.050901999999999996,,,02,state,AK
256,1,al,2020-02-06,0.0,2020-06-09,124,0.048417,,,01,state,AL
257,2,ar,2020-02-06,0.0,2020-06-09,124,0.18019200000000002,,,05,state,AR
